epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,2220.34,1.61416,3.46874,0.00363,0.57858,0.49871,0.35178,0.1075,3.42419,37.5956,0.00609,8.51333e-05,8.51333e-05,8.51333e-05
40,2276.88,1.61446,3.49154,0.00363,0.62177,0.55958,0.40918,0.14172,3.33969,38.3081,0.00583,8.43851e-05,8.43851e-05,8.43851e-05
41,2332.81,1.60816,3.43696,0.00361,0.51874,0.44272,0.30222,0.09366,3.59163,38.4222,0.00626,8.3622e-05,8.3622e-05,8.3622e-05
42,2388.93,1.60732,3.43753,0.00361,0.6082,0.50894,0.41331,0.13463,3.42501,31.4074,0.00605,8.28443e-05,8.28443e-05,8.28443e-05
43,2445.06,1.6014,3.3448,0.00357,0.56762,0.55662,0.39526,0.12571,3.47331,27.245,0.00607,8.20525e-05,8.20525e-05,8.20525e-05
44,2501.05,1.59885,3.38988,0.00356,0.52636,0.46126,0.29845,0.08249,3.62735,32.7726,0.00646,8.12468e-05,8.12468e-05,8.12468e-05
45,2557.35,1.59151,3.36014,0.00355,0.56424,0.51358,0.33561,0.09773,3.43916,32.9817,0.00611,8.04277e-05,8.04277e-05,8.04277e-05
46,2614.09,1.59057,3.3738,0.00355,0.58078,0.517,0.35843,0.10898,3.58839,31.1547,0.00638,7.95954e-05,7.95954e-05,7.95954e-05
47,2670.34,1.5796,3.38072,0.00353,0.60786,0.51722,0.37789,0.12709,3.3556,36.3586,0.00585,7.87503e-05,7.87503e-05,7.87503e-05
48,2726.62,1.57579,3.36302,0.0035,0.58409,0.50827,0.36029,0.11325,3.68507,37.7302,0.00631,7.78929e-05,7.78929e-05,7.78929e-05
49,2782.74,1.58438,3.35743,0.00352,0.57962,0.53278,0.37007,0.11944,3.58221,37.128,0.00623,7.70234e-05,7.70234e-05,7.70234e-05
50,2838.95,1.56055,3.30125,0.00347,0.60393,0.52053,0.39787,0.12771,3.5436,33.6971,0.00615,7.61423e-05,7.61423e-05,7.61423e-05
51,2894.82,1.55629,3.28237,0.00348,0.60783,0.51788,0.38596,0.12156,3.40587,34.327,0.00591,7.525e-05,7.525e-05,7.525e-05
52,2950.75,1.55371,3.28487,0.00344,0.58003,0.49172,0.35932,0.11581,3.51959,33.7398,0.00606,7.43468e-05,7.43468e-05,7.43468e-05
