epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,42352.3,0.28066,0.33112,0.07946,0.42583,0.41646,0.23412,0.07323,0.91715,0.76036,0.32888,9.14405e-05,9.14405e-05,9.14405e-05
40,43251.5,0.2783,0.33005,0.0789,0.42907,0.41677,0.23569,0.07314,0.91485,0.7627,0.32746,9.09984e-05,9.09984e-05,9.09984e-05
41,44142.1,0.27759,0.32945,0.07817,0.42181,0.41299,0.22998,0.07196,0.91914,0.75624,0.33049,9.05463e-05,9.05463e-05,9.05463e-05
42,45044.7,0.27331,0.32655,0.07737,0.41942,0.40953,0.22749,0.07111,0.92151,0.75244,0.33206,9.00844e-05,9.00844e-05,9.00844e-05
43,45943.5,0.27277,0.32611,0.07726,0.41247,0.40177,0.22059,0.06926,0.92572,0.74972,0.33484,8.96127e-05,8.96127e-05,8.96127e-05
44,46838.7,0.27208,0.32512,0.07647,0.41277,0.402,0.21906,0.06864,0.92671,0.75145,0.33549,8.91313e-05,8.91313e-05,8.91313e-05
45,47733.5,0.27133,0.32322,0.0767,0.40656,0.39576,0.21351,0.06748,0.93215,0.7469,0.33899,8.86404e-05,8.86404e-05,8.86404e-05
46,48629.5,0.26903,0.32178,0.07532,0.40637,0.39637,0.21447,0.06778,0.9295,0.75278,0.33757,8.81401e-05,8.81401e-05,8.81401e-05
47,49522.7,0.26597,0.32273,0.0751,0.40659,0.39372,0.21299,0.06737,0.93045,0.75528,0.3381,8.76305e-05,8.76305e-05,8.76305e-05
48,50417.1,0.26306,0.31962,0.0736,0.40618,0.3878,0.21079,0.06691,0.9305,0.75886,0.3377,8.71117e-05,8.71117e-05,8.71117e-05
49,51311,0.2633,0.31961,0.07364,0.40461,0.38566,0.20894,0.06638,0.93442,0.7524,0.33982,8.65839e-05,8.65839e-05,8.65839e-05
50,52203.5,0.26271,0.3161,0.07337,0.39878,0.38076,0.20395,0.06504,0.93942,0.74886,0.34288,8.60473e-05,8.60473e-05,8.60473e-05
51,53101.5,0.25894,0.31763,0.07225,0.39677,0.37899,0.20084,0.06445,0.94374,0.74084,0.34546,8.55018e-05,8.55018e-05,8.55018e-05
52,54001.8,0.25902,0.31366,0.07216,0.389,0.3719,0.19474,0.0628,0.9495,0.73259,0.34951,8.49477e-05,8.49477e-05,8.49477e-05
53,54895.7,0.25651,0.31474,0.07142,0.39122,0.37148,0.19552,0.0632,0.949,0.73052,0.34915,8.43851e-05,8.43851e-05,8.43851e-05
