epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,3285.51,1.6197,3.77318,0.00659,0.67243,0.56936,0.51673,0.17934,3.49595,20.7118,0.01189,8.51333e-05,8.51333e-05,8.51333e-05
40,3371.75,1.61044,3.77074,0.00654,0.68577,0.55694,0.49309,0.17328,3.49154,22.2091,0.01188,8.43851e-05,8.43851e-05,8.43851e-05
41,3455.76,1.61562,3.77551,0.00656,0.71412,0.49806,0.45395,0.16256,3.50085,29.3825,0.01193,8.3622e-05,8.3622e-05,8.3622e-05
42,3540.14,1.60434,3.70375,0.00655,0.57935,0.37566,0.34866,0.13334,3.50871,57.9659,0.01195,8.28443e-05,8.28443e-05,8.28443e-05
43,3624.58,1.595,3.70295,0.00648,0.19082,0.29896,0.12167,0.05197,3.51264,123.421,0.01198,8.20525e-05,8.20525e-05,8.20525e-05
44,3711.4,1.5881,3.67472,0.00644,0.04459,0.27479,0.02323,0.00802,3.52141,231.171,0.01204,8.12468e-05,8.12468e-05,8.12468e-05
45,3796.36,1.58648,3.67727,0.00643,0.01692,0.48307,0.01116,0.00353,3.52744,370.27,0.01208,8.04277e-05,8.04277e-05,8.04277e-05
46,3880.18,1.59045,3.702,0.00644,0.01459,0.43513,0.00964,0.00297,3.52279,489.931,0.01207,7.95954e-05,7.95954e-05,7.95954e-05
47,3964.67,1.57805,3.64035,0.00644,0.01251,0.42309,0.00843,0.0026,3.52183,606.074,0.01207,7.87503e-05,7.87503e-05,7.87503e-05
48,4049.55,1.57882,3.60935,0.00642,0.01127,0.50051,0.00758,0.00232,3.52787,724.362,0.0121,7.78929e-05,7.78929e-05,7.78929e-05
49,4135.15,1.57264,3.58772,0.00637,0.01062,0.48307,0.0072,0.0022,3.53711,807.701,0.01214,7.70234e-05,7.70234e-05,7.70234e-05
50,4219.25,1.56404,3.61151,0.00631,0.01026,0.47654,0.00699,0.00215,3.53234,854.938,0.01213,7.61423e-05,7.61423e-05,7.61423e-05
51,4303.66,1.55964,3.65823,0.00631,0.01001,0.47307,0.00683,0.0021,3.53854,867.58,0.01216,7.525e-05,7.525e-05,7.525e-05
52,4387.67,1.55716,3.578,0.00629,0.00994,0.47073,0.00678,0.00208,3.53882,854.176,0.01216,7.43468e-05,7.43468e-05,7.43468e-05
