epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,10869.1,1.53779,3.98757,0.00628,0.62813,0.50275,0.47046,0.16585,3.25034,21.4217,0.01191,8.51333e-05,8.51333e-05,8.51333e-05
40,11149.8,1.52704,3.99275,0.00621,0.62362,0.50388,0.46728,0.1632,3.26564,21.2397,0.012,8.43851e-05,8.43851e-05,8.43851e-05
41,11431,1.53449,3.91547,0.00626,0.62316,0.49939,0.46432,0.16114,3.27122,21.4122,0.01205,8.3622e-05,8.3622e-05,8.3622e-05
42,11712.3,1.52364,3.85499,0.00623,0.61923,0.49561,0.46346,0.16055,3.27494,21.5887,0.01206,8.28443e-05,8.28443e-05,8.28443e-05
43,11993.5,1.52048,3.85242,0.00621,0.61585,0.49612,0.46307,0.15947,3.28077,21.5842,0.0121,8.20525e-05,8.20525e-05,8.20525e-05
44,12274,1.51355,3.85526,0.00614,0.6145,0.49286,0.45908,0.15854,3.28202,21.8655,0.01211,8.12468e-05,8.12468e-05,8.12468e-05
45,12554.5,1.50717,3.83076,0.00613,0.60849,0.49366,0.45678,0.15779,3.28195,22.0876,0.0121,8.04277e-05,8.04277e-05,8.04277e-05
46,12836.5,1.5014,3.80208,0.00608,0.60719,0.49368,0.45537,0.15698,3.28587,22.2041,0.0121,7.95954e-05,7.95954e-05,7.95954e-05
47,13118.2,1.50952,3.82149,0.00612,0.61144,0.49356,0.45793,0.15799,3.2821,22.3545,0.01206,7.87503e-05,7.87503e-05,7.87503e-05
48,13398.9,1.49631,3.80378,0.00607,0.61273,0.49531,0.45763,0.15739,3.28182,22.503,0.01205,7.78929e-05,7.78929e-05,7.78929e-05
49,13679.3,1.49496,3.7576,0.00606,0.61629,0.49705,0.46056,0.15783,3.28021,22.5875,0.01204,7.70234e-05,7.70234e-05,7.70234e-05
50,13959.8,1.49431,3.72697,0.00604,0.61549,0.49735,0.4566,0.15684,3.28398,22.757,0.01207,7.61423e-05,7.61423e-05,7.61423e-05
51,14240.3,1.48484,3.71998,0.00603,0.61266,0.4947,0.45391,0.15496,3.29044,22.8296,0.0121,7.525e-05,7.525e-05,7.525e-05
52,14520.7,1.48286,3.76092,0.006,0.61448,0.49277,0.45387,0.15469,3.28863,22.929,0.01209,7.43468e-05,7.43468e-05,7.43468e-05
53,14801.1,1.48213,3.73672,0.006,0.612,0.48877,0.44992,0.15288,3.2924,22.9691,0.01212,7.34332e-05,7.34332e-05,7.34332e-05
54,15081.5,1.47192,3.72335,0.00596,0.61071,0.48592,0.44413,0.15112,3.29545,23.0792,0.01214,7.25094e-05,7.25094e-05,7.25094e-05
