epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,17287.1,0.30882,0.33811,0.08449,0.50704,0.49765,0.32094,0.09633,0.89438,0.72136,0.31051,9.14405e-05,9.14405e-05,9.14405e-05
40,17726.3,0.30939,0.33831,0.08404,0.50645,0.49663,0.31953,0.09569,0.89404,0.72365,0.31008,9.09984e-05,9.09984e-05,9.09984e-05
41,18173.1,0.30664,0.33738,0.08317,0.50396,0.49776,0.32046,0.09614,0.89165,0.72921,0.30821,9.05463e-05,9.05463e-05,9.05463e-05
42,18615.3,0.30334,0.33509,0.08215,0.5048,0.4969,0.32028,0.0964,0.88968,0.73247,0.30689,9.00844e-05,9.00844e-05,9.00844e-05
43,19061.2,0.30547,0.33577,0.08272,0.50029,0.49572,0.31767,0.09572,0.88741,0.74297,0.30539,8.96127e-05,8.96127e-05,8.96127e-05
44,19501.7,0.30254,0.33512,0.08181,0.50049,0.49582,0.31873,0.09636,0.88529,0.75119,0.3038,8.91313e-05,8.91313e-05,8.91313e-05
45,19943,0.30063,0.33447,0.08111,0.49755,0.49439,0.31591,0.09545,0.88591,0.75965,0.30428,8.86404e-05,8.86404e-05,8.86404e-05
46,20380.8,0.29752,0.33264,0.08004,0.49707,0.49174,0.3121,0.09451,0.88669,0.76615,0.30498,8.81401e-05,8.81401e-05,8.81401e-05
47,20827.3,0.29746,0.33186,0.08021,0.4976,0.49143,0.3115,0.09408,0.88576,0.77152,0.30459,8.76305e-05,8.76305e-05,8.76305e-05
48,21270.7,0.29735,0.32973,0.08007,0.49628,0.48684,0.30794,0.09339,0.88524,0.7791,0.3042,8.71117e-05,8.71117e-05,8.71117e-05
49,21715.6,0.29661,0.33091,0.07901,0.49504,0.48358,0.30607,0.09282,0.88611,0.78252,0.3045,8.65839e-05,8.65839e-05,8.65839e-05
50,22155.7,0.29568,0.3293,0.07879,0.49205,0.4805,0.30262,0.09201,0.88665,0.78657,0.30484,8.60473e-05,8.60473e-05,8.60473e-05
51,22598.3,0.29299,0.32774,0.07836,0.49131,0.48062,0.30122,0.0912,0.88748,0.78887,0.30533,8.55018e-05,8.55018e-05,8.55018e-05
52,23042.3,0.29155,0.3297,0.07796,0.49118,0.48184,0.30126,0.09166,0.88707,0.79049,0.30522,8.49477e-05,8.49477e-05,8.49477e-05
53,23479,0.28886,0.32684,0.0777,0.48955,0.48207,0.29985,0.09174,0.88805,0.78784,0.30605,8.43851e-05,8.43851e-05,8.43851e-05
