epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1417.57,1.9027,4.45359,0.00424,0.68332,0.52087,0.45043,0.15282,3.97923,39.4672,0.0077,0.000828443,0.000828443,0.000828443
43,1450.85,1.89839,4.44224,0.00425,0.64788,0.48013,0.42363,0.12629,3.05996,25.5749,0.00622,0.000820525,0.000820525,0.000820525
44,1484.42,1.89048,4.38863,0.00422,0.49537,0.40364,0.27113,0.08767,3.77777,41.4926,0.00716,0.000812468,0.000812468,0.000812468
45,1518.81,1.89785,4.36175,0.00422,0.71824,0.5106,0.46638,0.16351,3.31048,34.3223,0.00614,0.000804277,0.000804277,0.000804277
46,1552.14,1.89647,4.40674,0.0042,0.5231,0.43245,0.27964,0.08847,2.77346,21.5067,0.0055,0.000795954,0.000795954,0.000795954
47,1584.88,1.87286,4.3991,0.00416,0.44457,0.36788,0.26295,0.10136,2.78874,19.7234,0.00532,0.000787503,0.000787503,0.000787503
48,1617.86,1.89027,4.36266,0.00416,0.55474,0.46575,0.29295,0.08029,2.88406,44.0714,0.0057,0.000778929,0.000778929,0.000778929
49,1650.68,1.87972,4.3461,0.00411,0.47981,0.41556,0.28302,0.10463,3.29889,30.0433,0.0061,0.000770234,0.000770234,0.000770234
50,1683.31,1.8894,4.33907,0.00415,0.4194,0.35066,0.22852,0.08392,3.01483,21.0462,0.00564,0.000761423,0.000761423,0.000761423
51,1716.28,1.87612,4.37569,0.00417,0.59938,0.46358,0.3246,0.10747,2.6737,19.8836,0.00511,0.0007525,0.0007525,0.0007525
52,1749.33,1.85857,4.35885,0.00412,0.62835,0.45068,0.37736,0.12622,2.74105,60.3052,0.00548,0.000743468,0.000743468,0.000743468
53,1782.26,1.84213,4.2254,0.00405,0.69597,0.57252,0.47786,0.1724,2.42583,24.0248,0.0047,0.000734332,0.000734332,0.000734332
54,1815.25,1.85556,4.30578,0.00412,0.68108,0.55364,0.46968,0.16254,2.56688,21.9296,0.00518,0.000725094,0.000725094,0.000725094
55,1848.56,1.83686,4.25668,0.00407,0.50393,0.33245,0.26157,0.09105,2.7233,46.849,0.00525,0.000715761,0.000715761,0.000715761
56,1882.32,1.84194,4.23712,0.00407,0.63465,0.53205,0.39241,0.13839,2.61765,25.3519,0.00506,0.000706335,0.000706335,0.000706335
