epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,7985.95,0.36058,0.36536,0.05514,0.63833,0.5628,0.49485,0.18061,0.69484,0.93517,0.08751,9.14405e-05,9.14405e-05,9.14405e-05
40,8187.74,0.36052,0.36365,0.05533,0.54414,0.62682,0.50127,0.18505,0.66471,0.89347,0.08362,9.09984e-05,9.09984e-05,9.09984e-05
41,8394.19,0.36061,0.36528,0.05564,0.60762,0.56391,0.44694,0.16503,0.66699,1.0409,0.08017,9.05463e-05,9.05463e-05,9.05463e-05
42,8598.45,0.36467,0.36442,0.05617,0.5814,0.51755,0.41955,0.15962,0.69927,1.06304,0.09203,9.00844e-05,9.00844e-05,9.00844e-05
43,8801.19,0.36068,0.3618,0.05551,0.59492,0.54612,0.44449,0.16809,0.73002,1.0479,0.10635,8.96127e-05,8.96127e-05,8.96127e-05
44,9005.82,0.35702,0.36241,0.05377,0.62653,0.57161,0.47312,0.16913,0.69285,0.96055,0.09152,8.91313e-05,8.91313e-05,8.91313e-05
45,9208.2,0.35572,0.36232,0.05452,0.6186,0.5798,0.45316,0.16582,0.65859,1.08975,0.08062,8.86404e-05,8.86404e-05,8.86404e-05
46,9414.44,0.35824,0.36408,0.05496,0.62089,0.52914,0.4594,0.16294,0.70113,0.99175,0.09345,8.81401e-05,8.81401e-05,8.81401e-05
47,9616.73,0.35215,0.35978,0.05459,0.57453,0.54934,0.42901,0.15554,0.72114,0.93687,0.10292,8.76305e-05,8.76305e-05,8.76305e-05
48,9823.49,0.35138,0.35962,0.05343,0.56625,0.67185,0.54144,0.19324,0.67887,0.75506,0.08636,8.71117e-05,8.71117e-05,8.71117e-05
49,10026.9,0.3502,0.35734,0.05255,0.63396,0.54868,0.47167,0.17483,0.68022,1.00524,0.08689,8.65839e-05,8.65839e-05,8.65839e-05
50,10229.8,0.34811,0.35567,0.05206,0.64597,0.57517,0.45843,0.16672,0.71686,0.9923,0.09935,8.60473e-05,8.60473e-05,8.60473e-05
51,10435,0.34504,0.35342,0.0516,0.5872,0.54305,0.40398,0.14213,0.93322,0.84938,0.17541,8.55018e-05,8.55018e-05,8.55018e-05
52,10638,0.34882,0.35498,0.05276,0.50403,0.62947,0.47672,0.16923,0.70997,0.93561,0.0915,8.49477e-05,8.49477e-05,8.49477e-05
53,10843.9,0.347,0.35421,0.0514,0.56693,0.62421,0.49881,0.17848,0.73148,0.79609,0.10258,8.43851e-05,8.43851e-05,8.43851e-05
54,11046.4,0.34577,0.35449,0.05134,0.63066,0.56291,0.46822,0.16615,0.76148,0.85136,0.12003,8.38141e-05,8.38141e-05,8.38141e-05
55,11252.2,0.34103,0.3564,0.05039,0.62362,0.52682,0.40046,0.1477,0.80533,1.02316,0.14148,8.32349e-05,8.32349e-05,8.32349e-05
56,11455.8,0.34327,0.35179,0.05083,0.61057,0.55397,0.47123,0.17041,0.68711,1.0046,0.09107,8.26477e-05,8.26477e-05,8.26477e-05
57,11660.6,0.34234,0.35222,0.0499,0.59733,0.47616,0.39701,0.14385,0.75103,1.07538,0.11507,8.20525e-05,8.20525e-05,8.20525e-05
58,11865.5,0.34104,0.35098,0.05082,0.62296,0.50166,0.4484,0.16351,0.70543,1.04248,0.09443,8.14495e-05,8.14495e-05,8.14495e-05
59,12069,0.34324,0.35228,0.05056,0.63568,0.56192,0.47876,0.16864,0.6918,1.056,0.09198,8.08389e-05,8.08389e-05,8.08389e-05
60,12273.1,0.33827,0.34836,0.04985,0.61993,0.55523,0.42151,0.14443,0.78736,1.05352,0.11694,8.02208e-05,8.02208e-05,8.02208e-05
