epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5934.01,1.66412,4.28391,0.00696,0.68883,0.56793,0.5548,0.21719,3.08475,16.8118,0.01073,0.000828443,0.000828443,0.000828443
43,6072.72,1.66968,4.32284,0.00699,0.6918,0.56528,0.55291,0.21668,3.07824,16.9367,0.01071,0.000820525,0.000820525,0.000820525
44,6212.83,1.66272,4.29234,0.00692,0.68454,0.56619,0.54659,0.21444,3.08122,17.2195,0.01073,0.000812468,0.000812468,0.000812468
45,6351.26,1.66751,4.30892,0.00694,0.68733,0.56446,0.5467,0.21419,3.08476,17.1649,0.01077,0.000804277,0.000804277,0.000804277
46,6490.92,1.64688,4.23848,0.0068,0.69113,0.56406,0.54832,0.21469,3.08639,17.1597,0.01079,0.000795954,0.000795954,0.000795954
47,6630.53,1.64166,4.20527,0.00685,0.69455,0.56069,0.54945,0.21469,3.08415,17.2383,0.01078,0.000787503,0.000787503,0.000787503
48,6768.76,1.6399,4.21613,0.00683,0.69185,0.56059,0.54654,0.21445,3.08596,17.2823,0.01079,0.000778929,0.000778929,0.000778929
49,6908.34,1.64613,4.18794,0.00687,0.69078,0.55916,0.54631,0.21429,3.08755,17.2605,0.01081,0.000770234,0.000770234,0.000770234
50,7046.31,1.64333,4.20067,0.00681,0.68718,0.56069,0.54577,0.21404,3.09263,17.209,0.01083,0.000761423,0.000761423,0.000761423
51,7185.6,1.64891,4.24055,0.00685,0.69202,0.56324,0.55118,0.21484,3.09426,17.0898,0.01085,0.0007525,0.0007525,0.0007525
52,7326.12,1.63551,4.218,0.00679,0.69597,0.56253,0.55378,0.21628,3.09361,17.0374,0.01086,0.000743468,0.000743468,0.000743468
53,7466.84,1.63817,4.10948,0.00681,0.69776,0.56059,0.54929,0.21567,3.09349,17.0988,0.01087,0.000734332,0.000734332,0.000734332
54,7609.54,1.64066,4.16446,0.00684,0.69244,0.56032,0.54728,0.21464,3.09238,17.2781,0.01085,0.000725094,0.000725094,0.000725094
55,7749.62,1.631,4.1565,0.00675,0.69432,0.5565,0.54541,0.21481,3.0957,17.4857,0.01087,0.000715761,0.000715761,0.000715761
56,7890.7,1.62252,4.16598,0.00673,0.69389,0.55629,0.54512,0.21347,3.10213,17.4631,0.01092,0.000706335,0.000706335,0.000706335
57,8032.69,1.61321,4.07571,0.00667,0.689,0.55263,0.5394,0.21269,3.10933,17.6634,0.01096,0.00069682,0.00069682,0.00069682
58,8174.17,1.60998,4.11132,0.00665,0.68568,0.54855,0.53339,0.2121,3.10706,17.9722,0.01092,0.000687222,0.000687222,0.000687222
59,8316.07,1.60173,4.11704,0.00662,0.68927,0.5458,0.53343,0.21187,3.1127,17.9834,0.01097,0.000677543,0.000677543,0.000677543
60,8457.36,1.6095,4.09839,0.00663,0.68654,0.54651,0.53339,0.21324,3.11198,18.0044,0.01097,0.000667789,0.000667789,0.000667789
61,8598.68,1.60766,4.04833,0.00663,0.68913,0.5461,0.53167,0.21118,3.11672,18.1351,0.011,0.000657963,0.000657963,0.000657963
